#{"game": "switch", "game_nagents": 3, "game_action_space": 2, "game_comm_limited": true, "game_comm_bits": 2, "game_comm_sigma": 2, "nsteps": 10, "gamma": 1, "model_dial": false, "model_target": true, "model_bn": true, "model_know_share": true, "model_action_aware": true, "model_rnn_size": 256, "bs": 32, "learningrate": 0.0005, "momentum": 0.05, "eps": 0.05, "nepisodes": 1001, "step_test": 10, "step_target": 100, "cuda": 0, "model_rnn_layers": 2, "model_avg_q": true, "eps_decay": 1.0, "comm_enabled": true, "model_comm_narrow": false, "game_action_space_total": 4, "tdlambda": 2, "game_reward_shift": 0}
episode,reward
0,0.0
10,0.46875
20,0.6875
30,0.32258063554763794
40,0.03448275849223137
50,0.37931033968925476
60,0.4838709533214569
70,0.75
80,0.7333333492279053
90,0.3333333432674408
100,0.6666666865348816
110,0.13333334028720856
120,0.8387096524238586
130,0.36666667461395264
140,0.6206896305084229
150,0.6785714030265808
160,0.6206896305084229
170,0.30000001192092896
180,0.3103448152542114
190,0.4375
200,0.699999988079071
210,0.4333333373069763
220,0.75
230,0.78125
240,0.6000000238418579
250,0.3214285671710968
260,0.84375
270,0.7333333492279053
280,0.774193525314331
290,0.6333333253860474
300,0.65625
310,0.5
320,0.32258063554763794
330,0.8666666746139526
340,0.5862069129943848
350,0.46666666865348816
360,0.6129032373428345
370,0.7333333492279053
380,0.6896551847457886
390,0.5862069129943848
400,0.8333333134651184
410,0.5666666626930237
420,0.5625
430,0.6875
440,0.699999988079071
450,0.6666666865348816
460,0.6129032373428345
470,0.5666666626930237
480,0.9333333373069763
490,0.6666666865348816
500,0.699999988079071
510,0.9354838728904724
520,0.6896551847457886
530,0.75
540,0.8709677457809448
550,0.8214285969734192
560,0.8387096524238586
570,0.8709677457809448
580,0.7096773982048035
590,0.9333333373069763
600,0.9333333373069763
610,0.96875
620,0.7857142686843872
630,0.8928571343421936
640,0.9666666388511658
650,0.8666666746139526
660,0.8666666746139526
670,0.7857142686843872
680,0.9032257795333862
690,0.9032257795333862
700,0.9259259104728699
710,0.9677419066429138
720,1.0
730,0.9354838728904724
740,0.9666666388511658
750,0.8387096524238586
760,0.8620689511299133
770,0.9375
780,0.8125
790,0.9032257795333862
800,0.8999999761581421
810,0.9677419066429138
820,0.9354838728904724
830,0.90625
840,0.9032257795333862
850,0.8709677457809448
860,0.96875
870,1.0
880,0.8387096524238586
890,0.78125
900,0.9666666388511658
910,1.0
920,0.90625
930,0.8666666746139526
940,0.875
950,1.0
960,0.90625
970,0.8666666746139526
980,0.9032257795333862
990,1.0
1000,1.0
